data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,municipio_nome,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2025-12-28,202553,2289.0,2289,2289.0,2289,0.10403604,18.762018,0,2,355030820255320578,2026-05-05,São Paulo,,0.9638044,12200180,21.4883571428571,95.5425714285714,1,0,1,81.0436428571429,62.9127428571429,24.6030285714286,28.6038857142857,264,,,,,354440
2025-12-21,202552,1875.0,1875,1875.0,1875,0.0,15.368626,0,2,355030820255220578,2026-05-05,São Paulo,,0.7057439,12200180,20.3614285714286,90.8835285714286,1,0,1,71.4708714285714,48.8056428571429,24.8957142857143,29.6056142857143,277,,,,,354440
2025-12-14,202551,2413.0,2413,2413.0,2413,1.018515e-08,19.778397,0,1,355030820255120578,2026-05-05,São Paulo,,0.85614634,12200180,18.3870571428571,93.5827714285714,1,0,1,83.7794,68.1980142857143,20.8109,24.4433714285714,317,,,,,354440
2025-12-07,202550,2742.0,2742,2742.0,2742,0.123043686,22.475079,0,1,355030820255020578,2026-05-05,São Paulo,,0.96939695,12200180,19.3280285714286,90.6921428571429,1,0,1,78.5940857142857,61.2741714285714,22.2615428571429,26.2382857142857,278,,,,,354440
2025-11-30,202549,2934.0,2934,2934.0,2934,0.87141204,24.048826,0,1,355030820254920578,2026-05-05,São Paulo,,1.0302511,12200180,17.5127571428571,95.9132,0,0,1,81.4902857142857,57.6993571428571,21.1870285714286,26.3692285714286,339,,,,,354440
2025-11-23,202548,2885.0,2885,2885.0,2885,0.1321543,23.647192,0,1,355030820254820578,2026-05-05,São Paulo,,0.9712465,12200180,15.1303714285714,97.6876142857143,0,0,1,81.9634428571429,59.5406,18.8528285714286,23.5141714285714,362,,,,,354440
2025-11-16,202547,2624.0,2624,2624.0,2624,4.2166455e-08,21.50788,0,1,355030820254720578,2026-05-05,São Paulo,,0.86699927,12200180,16.6899285714286,93.3944571428571,0,0,1,79.5762,61.3420285714286,20.0509571428571,24.3274571428571,359,,,,,354440
2025-11-09,202546,3161.0,3161,3161.0,3161,0.9874223,25.909454,0,1,355030820254620578,2026-05-05,São Paulo,,1.0587888,12200180,14.2170714285714,95.8815857142857,0,1,1,81.5315571428571,61.5045857142857,17.6683,22.1718142857143,411,,,,,354440
2025-11-02,202545,3075.0,3075,3075.0,3075,0.9342305,25.204546,0,1,355030820254520578,2026-05-05,São Paulo,,1.0395966,12200180,17.2137142857143,96.0083428571429,0,0,1,84.5786714285714,66.7212857142857,20.3263,24.9537428571429,388,,,,,354440
2025-10-26,202544,2989.0,2989,2989.0,2989,0.542603,24.499638,0,1,355030820254420578,2026-05-05,São Paulo,,1.0027732,12200180,16.1499,95.2006857142857,0,0,1,83.9234571428571,64.0056428571429,19.3426571428571,24.0872428571429,417,,,,,354440
2025-10-19,202543,2889.0,2889,2889.0,2889,0.072098196,23.67998,0,1,355030820254320578,2026-05-05,São Paulo,,0.9626582,12200180,11.7726857142857,93.5545,0,0,1,75.8572857142857,50.2896714285714,15.6332,20.8377142857143,362,,,,,354440
2025-10-12,202542,3072.0,3072,3072.0,3072,0.94443685,25.179956,0,1,355030820254220578,2026-05-05,São Paulo,,1.0419216,12200180,17.064,95.3860714285714,0,0,1,81.4031,59.6607857142857,20.4599428571429,25.3864714285714,310,,,,,354440
2025-10-05,202541,2927.0,2927,2927.0,2927,0.94015825,23.99145,0,1,355030820254120578,2026-05-05,São Paulo,,1.0419494,12200180,15.7821857142857,90.3688428571429,0,0,1,78.8789714285714,62.1451,19.1309285714286,23.4717285714286,307,,,,,354440
2025-09-28,202540,3238.0,3238,3238.0,3238,1.0,26.540592,0,1,355030820254020578,2026-05-05,São Paulo,,1.1700191,12200180,15.3609857142857,95.7328857142857,0,1,1,78.378,51.0713571428571,19.8208,25.8609714285714,387,,,,,354440
2025-09-21,202539,2549.0,2549,2549.0,2549,0.002180629,20.893135,0,3,355030820253920578,2026-05-05,São Paulo,,0.9246876,12200180,14.8478857142857,89.1310428571429,0,0,1,74.3116285714286,58.8314857142857,17.7459428571429,21.7512,310,,,,,354440
2025-09-14,202538,2829.0,2829,2829.0,2829,0.99422824,23.188183,0,3,355030820253820578,2026-05-05,São Paulo,,1.0706967,12200180,14.5428,96.6390571428571,0,1,1,78.6879142857143,50.7736428571429,18.6171857142857,24.5030571428571,335,,,,,354440
2025-09-07,202537,2848.0,2848,2848.0,2848,0.99999964,23.343918,0,3,355030820253720578,2026-05-05,São Paulo,,1.1460166,12200180,14.0277142857143,95.5419857142857,0,1,1,77.1300714285714,52.9726857142857,17.8039,23.1035285714286,405,,,,,354440
2025-08-31,202536,2731.0,2731,2731.0,2731,0.99999964,22.384916,0,1,355030820253620578,2026-05-05,São Paulo,,1.1485938,12200180,14.4707714285714,93.7453428571429,0,1,1,76.4517285714286,53.1881714285714,18.4325857142857,23.3995428571429,312,,,,,354440
2025-08-24,202535,2333.0,2333,2333.0,2333,0.9022044,19.12267,0,3,355030820253520578,2026-05-05,São Paulo,,1.0389951,12200180,14.6110714285714,96.6113714285714,0,0,1,84.9786857142857,64.6835857142857,17.0658857142857,21.1179285714286,269,,,,,354440
2025-08-17,202534,2522.0,2522,2522.0,2522,1.0,20.671825,0,3,355030820253420578,2026-05-05,São Paulo,,1.1889939,12200180,15.1005571428571,87.7852142857143,0,1,1,69.2010571428571,43.9516142857143,19.6411,25.9516285714286,325,,,,,354440
2025-08-10,202533,2224.0,2224,2224.0,2224,0.9795084,18.229239,0,1,355030820253320578,2026-05-05,São Paulo,,1.0642194,12200180,9.65362857142857,95.7062285714286,0,1,1,81.1542857142857,57.8841714285714,13.0453857142857,17.8397714285714,297,,,,,354440
2025-08-03,202532,2078.0,2078,2078.0,2078,0.16086288,17.032536,0,1,355030820253220578,2026-05-05,São Paulo,,0.9699553,12200180,12.0863,92.9582,0,0,1,77.2523428571428,52.4703285714286,15.8098285714286,20.5122571428571,312,,,,,354440
2025-07-27,202531,2021.0,2021,2021.0,2021,0.0011940075,16.565329,0,1,355030820253120578,2026-05-05,São Paulo,,0.91089183,12200180,10.0329714285714,91.3491142857143,0,0,1,71.9230428571429,46.1065714285714,15.0700285714286,21.1178571428571,291,,,,,354440
2025-07-20,202530,2201.0,2201,2201.0,2201,0.012983126,18.040718,0,1,355030820253020578,2026-05-05,São Paulo,,0.936114,12200180,12.0526571428571,98.4337428571429,0,0,1,84.2703142857143,58.0095428571429,15.5643142857143,20.6521428571429,321,,,,,354440
2025-07-13,202529,2175.0,2175,2175.0,2175,2.9154124e-11,17.827606,0,1,355030820252920578,2026-05-05,São Paulo,,0.82748544,12200180,10.3823428571429,92.7409285714286,0,0,1,75.5558857142857,49.0716428571429,14.7536714285714,20.1675428571429,367,,,,,354440
2025-07-06,202528,2324.0,2324,2324.0,2324,0.0,19.048899,0,1,355030820252820578,2026-05-05,São Paulo,,0.7472812,12200180,10.8155428571429,98.8638714285714,0,0,1,85.7263857142857,59.8475285714286,13.9526285714286,18.5092142857143,366,,,,,354440
2025-06-29,202527,2459.0,2459,2459.0,2459,0.0,20.15544,0,1,355030820252720578,2026-05-05,São Paulo,,0.6494133,12200180,12.2837714285714,96.6529,0,0,1,87.5771857142857,76.1660857142857,14.0966571428571,16.5229285714286,446,,,,,354440
2025-06-22,202526,3093.0,3093,3093.0,3093,0.0,25.352085,0,1,355030820252620578,2026-05-05,São Paulo,,0.63711095,12200180,12.6269571428571,93.1455,0,0,1,78.1570571428571,55.8982142857143,16.1175857142857,21.3964428571429,525,,,,,354440
2025-06-15,202525,3692.0,3692,3692.0,3692,0.0,30.261848,0,4,355030820252520578,2026-05-05,São Paulo,,0.5706197,12200180,12.1197285714286,86.9368714285714,0,0,1,72.3846857142857,50.9522428571429,16.7261571428571,22.4968142857143,599,,,,,354440
2025-06-08,202524,4294.0,4294,4294.0,4294,0.0,35.1962,0,4,355030820252420578,2026-05-05,São Paulo,,0.5075819,12200180,11.6457285714286,97.1763428571429,0,0,2,87.0923428571429,68.6215285714286,14.0491142857143,17.4394,905,,,,,354440
2025-06-01,202523,6599.0,6599,6599.0,6599,0.0,54.089367,0,4,355030820252320578,2026-05-05,São Paulo,,0.62025785,12200180,14.3875571428571,97.7971428571429,0,0,2,85.7831428571429,66.0774285714286,17.3938285714286,21.645,1344,,,,,354440
2025-05-25,202522,8036.0,8036,8036.0,8036,0.0,65.86788,0,4,355030820252220578,2026-05-05,São Paulo,,0.6359448,12200180,13.1749571428571,89.8251428571429,0,0,2,75.4035285714286,51.5595142857143,17.0132714285714,22.0823,1774,,,,,354440
2025-05-18,202521,11048.0,11048,,11048,0.0,90.55604,0,4,355030820252120578,2026-05-05,São Paulo,,0.7685883,12200180,15.6739142857143,93.0108571428571,0,0,2,82.2792714285714,64.4570142857143,18.6027714285714,22.4795857142857,2291,,,,,354440
2025-05-11,202520,12689.0,12689,,12689,0.0,104.00666,0,4,355030820252020578,2026-05-05,São Paulo,,0.79666543,12200180,14.1368,98.1446857142857,0,0,2,85.8186142857143,63.4455857142857,16.9597571428571,20.6818,2842,,,,,354440
2025-05-04,202519,14598.0,14598,,14598,0.0,119.65397,0,4,355030820251920578,2026-05-05,São Paulo,,0.8630374,12200180,15.6654142857143,96.6289714285714,0,0,2,78.9754142857143,54.8066142857143,19.5702571428571,24.2915428571429,3419,,,,,354440
2025-04-27,202518,15755.0,15755,,15755,4.735101e-13,129.13744,0,4,355030820251820578,2026-05-05,São Paulo,,0.9241762,12200180,15.2431142857143,98.0560428571429,0,0,2,86.0739571428571,64.9116,17.9981714285714,21.7459714285714,3868,,,,,354440
2025-04-20,202517,18471.0,18471,,18471,1.0,151.3994,0,4,355030820251720578,2026-05-05,São Paulo,,1.0700964,12200180,16.5955,97.5593857142857,0,1,2,89.1618571428571,72.35,18.6458571428571,21.8320428571429,4799,,,,,354440
2025-04-13,202516,16229.0,16229,,16229,5.262457e-14,133.02263,0,4,355030820251620571,2026-04-28,São Paulo,,0.92231065,12200180,17.5529571428571,97.9935428571429,0,0,2,87.5175714285714,69.4687428571429,20.1061285714286,23.9533714285714,4465,,,,,354440
2025-04-06,202515,17332.0,17332,,17332,0.2751019,142.06348,0,4,355030820251520566,2026-04-23,São Paulo,,0.9936129,12200180,16.2822714285714,95.6212428571429,0,0,2,84.7011285714286,67.5901571428571,19.0208142857143,22.7588285714286,4709,,,,,354440
2025-03-30,202514,18115.0,18115,,18115,1.0,148.48141,0,4,355030820251420557,2026-04-14,São Paulo,,1.0889117,12200180,18.7978428571429,97.0881285714286,1,1,2,87.2922857142857,69.3881142857143,21.4425571428571,24.9558857142857,5345,,,,,354440
2025-03-23,202513,17809.0,17809,,17809,1.0,145.97325,0,4,355030820251320552,2026-04-09,São Paulo,,1.1567446,12200180,18.5278285714286,98.4427285714286,1,1,2,86.8899142857143,67.6998428571429,21.5942428571429,25.6350857142857,5150,,,,,354440
2025-03-16,202512,17028.0,17028,,17028,1.0,139.57172,0,4,355030820251220544,2026-04-01,São Paulo,,1.19633,12200180,17.7097142857143,97.7978571428571,0,1,2,87.7940142857143,70.8411285714286,20.3358285714286,23.8874571428571,4856,,,,,354440
2025-03-09,202511,15489.0,15489,,15489,1.0,126.957146,0,4,355030820251120536,2026-03-24,São Paulo,,1.1488363,12200180,19.7426285714286,98.1256714285714,1,1,2,85.8854428571429,64.4263285714286,22.4739428571429,26.5984714285714,4117,,,,,354440
2025-03-02,202510,13809.0,13809,,13809,1.0,113.18685,0,4,355030820251020529,2026-03-17,São Paulo,,1.0954192,12200180,19.0180142857143,95.8084857142857,1,1,2,80.0648142857143,55.3735857142857,22.9250285714286,27.5685857142857,3341,,,,,354440
2025-02-23,202509,13568.0,13568,,13568,1.0,111.21147,0,4,355030820250920522,2026-03-10,São Paulo,,1.2431914,12200180,19.9975857142857,98.4247571428571,1,1,2,82.3729714285714,57.0960285714286,23.7042285714286,28.1089285714286,2404,,,,,354440
2025-02-16,202508,13383.0,13383,,13383,1.0,109.69511,0,4,355030820250820516,2026-03-04,São Paulo,,1.5342766,12200180,21.1382,94.9982571428571,1,1,2,81.2999571428571,64.2289714285714,24.3878714285714,28.4929,2003,,,,,354440
2025-02-09,202507,11406.0,11406,,11406,1.0,93.490425,0,4,355030820250720508,2026-02-24,São Paulo,,1.658797,12200180,19.7836428571429,96.3916428571429,1,1,2,80.9496714285714,58.6946,23.4858428571429,27.7953571428571,1596,,,,,354440
2025-02-02,202506,8294.0,8294,8294.0,8294,1.0,67.982605,0,4,355030820250620504,2026-02-20,São Paulo,,1.495312,12200180,19.9869,94.7312571428571,1,1,2,82.7849714285714,67.1579857142857,23.0364,26.5461142857143,1204,,,,,354440
2025-01-26,202505,6639.0,6639,6639.0,6639,1.0,54.41723,0,4,355030820250520495,2026-02-11,São Paulo,,1.4703889,12200180,20.1319285714286,97.3112142857143,1,1,2,89.5419285714286,76.4665857142857,21.9659714285714,24.7312857142857,1040,,,,,354440
2025-01-19,202504,5603.0,5603,5603.0,5603,1.0,45.925552,0,3,355030820250420491,2026-02-07,São Paulo,,1.5188777,12200180,21.0185142857143,93.3878,1,1,2,79.2042714285714,61.0183,24.5609428571429,28.6454714285714,870,,,,,354440
2025-01-12,202503,4291.0,4291,4291.0,4291,1.0,35.17161,0,3,355030820250320487,2026-02-03,São Paulo,,1.4741558,12200180,17.9711714285714,96.0442714285714,0,1,2,84.5219,68.3923428571429,20.7257,24.3982285714286,690,,,,,354440
2025-01-05,202502,3781.0,3781,3781.0,3781,1.0,30.991346,0,4,355030820250220460,2026-01-07,São Paulo,,1.6569425,12200180,18.0260428571429,97.4104571428571,1,1,2,87.053,70.8982285714286,20.5592142857143,24.3527571428571,757,,,,,354440
2024-12-29,202501,2982.0,2982,2982.0,2982,1.0,24.442263,0,4,355030820250120460,2026-01-07,São Paulo,,1.4291073,12200180,18.9209,95.8770142857143,1,1,2,85.3183285714286,70.1748428571429,21.9553,25.7866714285714,597,,,,,354440
